"id","label","location","sentiment_score","followers_count"
"x1324747740425965568","FRCOVID_19","France",3,697
"x191493962","Smokin093","France",3,800
"x893547221223964673","CarolineBergma8","France",3,821
"x1160651975203205120","SebCiszewski","France",3,960
"x3392616665","globeechos","France",3,979
"x1293120158484107269","La_BonneActu","France",3,1235
"x74902817","Fosfore","France",3,1386
"x1239665968277860352","Pacharlotte3","France",3,1417
"x1016915990737838080","CuriousKd2000","France",9,1449
"x3107999327","1000histoires","France",3,1578
"x841248092636737536","Alter__Egaux","France",3,1582
"x1060560007077511168","foodevo_lefilm","France",3,1678
"x964152217291902977","MonnaieCryptoFR","France",3,1724
"x14797919","GiCi","France",3,1765
"x252374864","Reinette47","France",3,1776
"x259846705","Tenno1er","France",3,1927
"x435942830","ErwanMorice","France",3,2286
"x368332505","sepemindustries","France",3,2921
"x2854877732","docteurniide","France",3,3446
"x1560015996","JPRignault","France",3,3541
"x48691824","Ibra_Amirat","France",3,3972
"x7930632","mediasconcept","France",3,6471
"x1315019859147853824","Cote_Science","France",3,6852
"x560425542","nicoleodera","France",3,7189
"x4556183129","MarcGral","France",3,7758
"x2423412582","eduardomackenz1","France",3,8485
"x714600723430805506","bifrance","France",3,10271
"x78075582","erenault","France",3,15835
"x437774410","DussolAlexis","France",3,16727
"x20229856","TomsGuideFR","France",3,19589
"x117459814","jdflaysakier","France",6,34841
"x221059325","leQdM","France",3,41573
"x36026024","francebleu","France",9,76639
"x123830541","RMCinfo","France",3,244152
"x34294667","RTLFrance","France",12,973003
"x364513528","LeHuffPost","France",6,1165999
"x15892162","ParisMatch","France",6,1281270
"x18396319","CNEWS","France",9,1791618
"x133663801","BFMTV","France",30,3022147
"x280988929","guenotmichel","FRANCE",6,5013
"x271439132","Cathylabb","FRANCE",5,1357
"x726933314892877824","MISTERDIAS21","FRANCE",4,144
"x122416930","lmodolopointfr","FRANCE",3,69
"x94330611","RETINAFRANCE","FRANCE",3,504
"x574845852","VANDEWALLEYves","FRANCE",3,1197
"x29947354","lamontagne_fr","FRANCE",3,97604
"x119689586","yannoudinard","Françe",5,32
"x525789116","cwipi_piwic","France-57",3,114
"x1324019499956359173","PasquierAntoin5","France - Bretagne",4,0
"x625602225","yannicktanguyde","France - BZH - au Phare Ouest",24,259
"x273092974","_GDM","France - Région PACA",3,1256
"x3448481055","Blodwyn_KH69_","France - Rhône Alpes",4,4661
"x750738525507743744","slideillusion","France (<U+0001F4AD>: <U+0001F1E6><U+0001F1FA><U+0001F1F5><U+0001F1F9><U+0001F1EA><U+0001F1F8><U+0001F1F8><U+0001F1EA>)",3,247
"x931561394524360706","metropole06fr","France (Nice Côte d'Azur)",3,159
"x1255115823116619776","CTibrach","France / Israel",3,33
"x580939657","franzyroy","FRANCE / NORMANDIE",3,719
"x1469748847","GerardBondeau","France <U+0001F1EB><U+0001F1F7>",3,1277
"x3981611169","Lggmpc1","France <U+0001F1EB><U+0001F1F7> Bourgogne",3,96
"x1322569343750864896","JMichel75011","France and Switzerland",4,30
"x2732553528","BalmitgereA","France éternelle",3,968
"x488829551","marjo_lab","France Ile de France",4,1318
"x71197215","simonvenet","France Lyon",6,486
"x312050805","ColBc92","France occitanie",4,886
"x867492999797854208","HerveHannoun","france paris",3,821
"x285001975","jazzpote","france sud ouest",10,651
"x1266395206913531909","NiusMarco","France Tarn et Garonne",8,1978
"x560516154","ggaway","France USA",3,169
"x857847709788758016","maimiti_gelly","France, Agen",3,80
"x404767782","RAFELILI08","France, Europe",3,1018
"x1327539443348213760","Julien98805611","France, La Ciotat",3,17
"x137654240","NCheron_bourse","France, Paris",5,51690
"x1068012698","rougesgorges","FRANCE, PARIS",3,943
"x1295078706499784708","2020Marceau","France, Planète <U+0001F30F>",3,738
"x1506002911","Pomarbo","France, planète Terre.",4,257
"x237062549","AlainReyHartman","France, Vernon, Eure",3,2450
"x599470576","valou78800","france,Paris",3,35
"x478523721","Anthony_RS","France,Paris.",5,202
"x1065235562985082886","bazouzabou","France. Savoie",3,542
"x322298346","Log_Yves","France...Bretagne",6,584
"x1355072847551590404","HCoursiere","Francfort-sur-le-Main",4,46
"x991386505129218048","ReneLeTaxi","Fréjus, France",4,37
"x1298646018154799104","EDMat32881509","Fribourg, Suisse",3,94
"x1083838621470416896","Zoltsi1","Gabon",4,124
"x305248174","davidus30","Gard france",3,54
"x793700443","Benoit_Jimenez","Garges-lès-Gonesse",3,1422
"x3142614406","DiLebouthillier","Gaspésie-Îles-de-la-Madeleine",4,15538
"x165812196","stevenmackinnon","Gatineau, Québec",3,4604
"x1219899820942467073","JReberlan","GB , USA ,Norway ,Germany .",4,14
"x256454827","StephaneBussard","Geneva, Switzerland",5,2088
"x14845783","stephanekoch","Geneva, Switzerland",5,7665
"x4104255916","DavidUlysse1","Genève",7,951
"x1492533270","molteni_b","GENÈVE",3,109
"x321306923","cefoveau","Genève, Suisse",4,14023
"x1259931080234340352","LCimasoni","Genève, Suisse",3,119
"x2780497304","KritiKaQuatiQ","Genève, Suisse",3,251
"x3311874339","SimpleCorrect","Genève, Suisse",3,645
"x3161290995","adnettoyage","Genève, Suisse",3,1761
"x943396308483825664","heidi_news","Genève, Suisse",3,9604
"x172798076","SophieWallez","Genève, Suisse <U+0001F1E8><U+0001F1ED>",3,2391
"x18310311","datisdaz","Genève<U+0001F1E8><U+0001F1ED> (ou Paris <U+0001F1EB><U+0001F1F7>)",3,2668
"x45630799","pthibaut","Germany, Berlin",8,43487
"x304968157","CorinneReverbel","Gers, Midi-Pyrénées",3,13062
"x758653158793080833","FX_Obrador","Gironde, Aquitaine",7,365
"x554314127","Burgaragio","Gougnafiers 's Land",3,159
"x1182471723708534784","LemoineSbastie2","GouldoMarxoZinovievaWallonien",11,28
"x3070894881","praxsusg","gps non disponible...",3,49
"x143477335","lavoixdelest","Granby (Québec)",13,3887
"x330872675","novytweety","Grand-Duché de Luxembourg",4,727
"x732857383035281408","mrcdiplomatique","Grand Casablanca",7,1584
"x404806153","kerozen10","Grand Est",3,2346
"x2960358431","e_pucella","Grand Montréal, Québec",3,3844
"x238053494","jfhede","grande synthe, nord, france",3,50
"x2280736897","PJEDOUARD","Granville, France",6,1718
"x1254007691632152576","Ketamine38","Gre <U+26F7><U+0001FA82>",6,278
"x21580831","nasoskook","Greece",3,2105
"x2589896351","Spineur1","Grenoble",6,65
"x2749304458","c_quintard","Grenoble",9,161
"x497378928","latch2flipflop","Grenoble",4,269
"x1068423768","LeDL_Grenoble","Grenoble",3,15084
"x1177695187323248648","BotteJeanluc","Grenoble, France",4,4
"x1595642730","Bronpaul1","Grenoble, France",4,1431
"x218441367","helcg","Grenoble, France",3,355
"x341654081","Tensai590","Guadeloupe",3,300
"x45382084","il__sorpasso","Guéthary, France",4,98
"x1556674015","cardi_jo","Guyancourt",4,193
"x802482836099960832","UPR_Guyane","Guyane Française",5,812
"x134785070","jgruat","habite sur Villeurbanne 69",3,406
"x474419958","SkandalNews","Haiti",4,5185
"x822818295795417088","Natepandora","Halle (Saale), Germany",5,1
"x488700754","Jeapam","Hampstead",42,1036
"x803529205774483456","laupass59","Haut de France",6,70
"x2270869228","K1ng_0f_Spades","Haut doubs",4,41
"x958054965674676224","maistrek","HAUTE-NORMANDIE (27)",3,682
"x3806745579","zazabelle7669","Haute-Normandie, France",3,672
"x837970631903887360","SergeDoucet3","Haute-Normandie, France",3,2399
"x2754898195","ducatistilou","Hautes alpes",4,26
"x1370307528","fmLupi","Hauts-de-France , France",6,16
"x119862184","sarigue84","Hauts-de-Seine (France)",3,44
"x301632765","BenBredcity","Hauts-de-Seine / <U+4E0A><U+6D77>",4,87
"x4452653115","BoreeJanus","Hauts-de-Seine, Ile-de-France",5,270
"x2499265148","BLANCCrisbianca","Hauts-de-Seine, Ile-de-France",4,243
"x1205524668","iacovellixavier","Hauts-de-Seine, Ile-de-France",4,7507
"x1344561204803624962","ccdespina","Hauts-de-Seine, Ile-de-France",3,10
"x402620054","Rusty_Schrader","Hauts-de-Seine, Ile-de-France",3,33
"x822763271086346240","nordi_dsa","Hauts-de-Seine, Ile-de-France",3,2620
"x378608950","Yayonne11","Havre-Saint-Pierre, Québec",7,4126
"x1252307127814807552","ArizonaDream14","Hemisphere Nord",4,213
"x705123926175834112","NumeriKinstit","Hérault, Languedoc-Roussillon",3,3813
"x1336270459","thecarpy_","Herzdeutscher",3,396
"x758636682350657537","blancasals","hic et nunc",7,172
"x1004006432943980544","Politica_Econom","Hic et Nunc",3,552
"x1343080663621251074","Rodrigues780ds","Hollande",4,4060
"x2439746496","tonytamsir","Hong Kong",3,2
"x89562375","seb_area","Hôpital / Aérodrome / Restos",3,1967
"x117041933","schoelcher_og78","Houilles, Yvelines, France",3,587
"x2313705762","HistoireSecrete","http://notrepays.cforum.info",48,2579
"x155227724","sedenion","https://youtu.be/yX8oKdqP6nY",6,251
"x326015994","CarracasTheHutt","Hutta",6,202
"x1274807439607685123","MusCa06602487","Ici !",7,133
"x127275346","pesud","ICI !!!",3,20
"x1249774063293214720","ki_ko_20_20","ici & maintenant",7,491
"x1254994964498563072","mye_design","Ici et là",3,214
"x915860187277389825","DwPrat","Ici et là parfois ailleurs",3,474
"x1051861039627886593","InsurgezVous777","Identité terrienne",3,453
"x2197096068","Maugrabin","IDF | Oujda-Berkane",4,581
"x1192377381044002817","RRomdes","Ile-de-France",3,68
"x856089021197451265","Erik44187887","Ile-de-France, France",9,62
"x797012289949958144","cyrillem54","Ile-de-France, France",5,10
"x843546356224577536","Fn92Chatillon","Ile-de-France, France",11,4046
"x1149043236884889605","NoNaoNow","Ile-de-France, France",4,2
"x1107772232581943296","MontagneMichael","Ile-de-France, France",4,108
"x1038883021720576001","CHristelle846","Ile-de-France, France",4,191
"x1268650945338052608","Alpha_tauri_10","Ile-de-France, France",7,292
"x320895418","sirtan01","Ile-de-France, France",4,380
"x4832806138","RollyGregory","Ile-de-France, France",4,627
"x3111383093","neolitterature","Ile-de-France, France",4,2307
"x1236993945219010561","TietAlbert","Ile-de-France, France",3,6
"x1322086617717374976","liberte_cherie_","Ile-de-France, France",3,13
"x336219533","Julien_Monin","Ile-de-France, France",3,26
"x773239263802556416","Nerya56","Ile-de-France, France",3,28
"x58209526","Baptiste_Mazars","Ile-de-France, France",3,28
"x1233800281286201345","evanessances","Ile-de-France, France",3,102
"x1254510740763021314","AttalD3","Ile-de-France, France",3,115
"x1069836988759580672","Ziloto1","Ile-de-France, France",3,280
"x726514579715575808","grinouillette","Ile-de-France, France",3,315
"x823196353509597184","Epcocorico","Ile-de-France, France",3,389
"x1886881579","mamymo94","Ile-de-France, France",3,1747
"x4905023769","AphpCfeCgc","Ile-de-France, France",3,1890
"x1192767230","alain_co","Ile-de-France, France",3,2305
"x306190323","EricMassaud","Ile-de-France, France",3,7693
"x827151086733635584","dragonduclos","Ile-de-France, France",3,21024
"x827066978158383104","MLSoVia","Ile-de-France, Morbihan.",7,1449
"x280956462","m00ktiz","Ile de la Réunion",3,58
"x1557796206","IsulaRossa2B","Ile Rousse",4,337
"x1081169763185950720","RouBern","Îles de la Madeleine, Canada",5,717
"x509340625","olivier_winter","Ille-et-Vilaine, Bretagne",6,1970
"x754763889485684736","ntaegun","Ille-et-Vilaine, Bretagne",4,46
"x926399701","KiffCedric","Impel Down <U+2620><U+FE0F>",3,1286
"x555919899","aimeezun","In a lab or at a milonga",3,415
"x1007365596","CheyckHilde","In a Minecraft's random world",6,335
"x134203189","Disciple_Neuro","In Extenso",3,1246
"x24685668","myespace","In my bedroom office",6,1924
"x1083409558645686272","SVMISVM10","In my world <U+0001F30D>",3,48
"x66667405","Daarjeeling","In through the out door",4,6077
"x2868271529","johnny90001","Inconnu",3,58
"x815318141416996864","Jean_Ajalbert","Indochine, Haute-rivière noire",3,777
"x337197447","VaeaSchweig","Indre-et-Loire, Centre",3,567
"x1060974948011913217","neowise00","International Space Station",3,310
"x822863630005895169","networkjungle","Internets",6,56
"x94730661","DavidSanterre","iPhone: 0.000000,0.000000",3,5495
"x399110425","sererojonathan","Israel",8,1938
"x3013168844","koide9enisrael","Israel",6,143
"x543660540","InfosIsraelNews","Israël (Proche de Gaza)",3,4296
"x975461182084648960","Serdar68613648","Istanbul, Türkiye",4,159
"x1184070977896046592","AnnickQuemper","Italia & france",3,694
"x210754487","AnnaDi_Mario","Italie",14,5450
"x1387731223","Lixellois","Ixelles, Belgique",3,1389
"x1231274181628694529","Frazero11","Ixelles, Belgium",6,19
"x1198701330459746310","GendronEugene","J1H 2T8",3,0
"x1209760929266593796","patrickmaurin5","Jakarta Capital Region",3,15
"x1331263719318425607","TaboneOMok","Jalisco, México",4,227
"x727316106843574272","BagalueSunab","Jamaica- Trinidad &Tobago",11,3105
"x2897749941","StephaneHalimi","Paris",16,3328
"x1256279804321492992","Adamant07781306","Japon",8,11
"x64282905","Ryo_Saeba_3","Japon <U+5927><U+5BAE> <U+57FC><U+7389>",6,7398
"x914562292490080257","SylasMondesir","JeNeMeConfineraiPas",3,353
"x2778753121","FredSchillo","Jerusalem / Paris",3,2685
"x2282659855","TimesofIsraelFR","Jérusalem/Paris",6,8457
"x922558401049133058","DrJeanRicky2","Johannesburg, South Africa",5,303
"x1089271906006646784","alexandrelege17","joinville le pont",6,267
"x361043041","J_Precision","Jumet",4,57
"x1305198299926999040","fabrice_lemmens","Juprelle, Belgique",3,16
"x2312848698","jallucin","juste là  pour  l'essentiel",3,1098
"x192321697","karenmccrimmon","Kanata-Carleton",3,7378
"x848282135517696000","HEFTSERVICES","Kanata, ontario",3,37
"x730831265881001984","Tismalgh","Kantan",5,49
"x37898629","KATIOPYAH","Kathiopia, Biblique Bantou",3,215
"x1193862365701427200","katiopanews","Katiopa",3,41
"x1268140115521605633","ChiyoNde","Khartoum, soudan",3,109
"x871681970","rbarwanda","Kigali, Rwanda",4,201936
"x282595879","mediacongo","Kinshasa",6,10468
"x207519218","anthonykatombe","Kinshasa, Congo",4,362
"x53666812","monsefderraji","Kirkland, Québec",13,6219
"x286568848","AdriHzx","Kommandantur héninoise",7,194
"x294846533","Al12loin","Kremlin",3,237
"x10805992","melindatrochu","L<U+0259>k<U+0313><U+02B7><U+0259><U+014B><U+0259>n territory/Victoria",3,2264
"x901104136996913152","Reinnas_p","La Baule-Escoublac, France",6,173
"x1319418744591056898","Sylvain95637893","La Baule-Escoublac, France",5,109
"x300718317","alni92","La Baule-Escoublac, France",3,7986
"x1058787548015804417","LaColitruche","La croix sur Gartempe",6,3653
"x1313436379330891776","DidierDucouret","La France d'hier",3,68
"x2337348082","cescau","la lune",3,451
"x765452170900729856","lamethodeFC","La Méthode Scientifique",6,39596
"x46903714","ArthurNazaret","Là où le soleil se couche",3,12497
"x2212693256","WhatsUpDoc_mag","Là où on soigne",3,13724
"x4052449996","MACRONITE2017","La planète",3,836
"x1065614963111276546","SM45677253","La Réunion",4,110
"x1244985114829959173","AKMEMETEAU","La Rochelle",3,2408
"x2869340604","JARDINSGUITON","La Rochelle 2017",3,453
"x338955445","tcabarrus","La Rochelle, France",6,23661
"x15732991","fabricerestier","La Rochelle, France",3,630
"x351981700","2QT_2B_STR8","La Rochelle, France",3,1119
"x56818309","journalchretien","La Rochelle, Poitou-Charentes",6,1325
"x757214262704107520","Nostradamus83","La Seyne-sur-Mer, France",3,93
"x716594982006693889","florent_chenu","La Terre",6,710
"x1199654710514507776","leloupsage1","la terre - le monde",3,1
"x122775626","d0n0van971","La voie étroite et resserrée",3,569
"x1180577767","laurentdogrel","LA, NYC, Paris, Biarritz",9,737
"x1879322353","ClaudeClaude710","Lachine, Montréal",5,35
"x443129202","Valerie_Rabault","Lafrançaise",4,18245
"x62506572","Tracksweb","Lambersart",3,451
"x1157347523947892737","ADSciences971","Lamentin - Guadeloupe",3,83
"x525719842","MarcottePierre1","Lanaudière",5,2380
"x320189843","JoelleBIAL","Languedoc-Roussillon",3,273
"x503541045","eric_bardin","Languedoc-Roussillon, France",4,54
"x260165258","24heuresEco","Lausanne - Suisse",3,1083
"x23922814","Lematinch","Lausanne - Suisse",3,112226
"x1384515000","BernardPonci","Lausanne, Suisse",7,30
"x3468565703","Damkyan_Omega","Lausanne, Suisse",15,20410
"x397453670","spz19","Lausanne, Switzerland",3,734
"x2236380408","JCGRUAU","Laval",3,1220
"x531196487","FrHannan","Laval Qc",3,3
"x336208673","kiadufun","Laval, QC",3,1669
"x879717014998306816","MarierMichel","Laval, Québec",3,8
"x1119986836015919105","PierreT55627332","Laval, Québec",3,132
"x117780192","LeCourrierLaval","Laval, Québec",3,4749
"x4865398792","RoselineB83","Le Beausset, France",3,868
"x20173137","Calipso1977","Le bonheur est dans le pré",4,49
"x1086135133","idg_pharma","Le deuxième sous sol du CHU",4,866
"x1092901044303130624","LorentSouk","Le Kremlin-Bicêtre, France",3,73
"x926129642276360192","Brun01160147","Le Luc, France",3,897
"x987296664","C_Pantalon","Le Maine, France",4,1856
"x4919295725","VRAC_TECH_EXPO","Le Mans et Mâcon",3,621
"x884051815","Mont_Cervin4478","Le moment présent",7,363
"x1081876454164570114","LMachiniste","Le Monde",3,702
"x706748719","AlainLegaret","Le Monde à l'Endroit",16,3073
"x1359454849142829058","Pauldur53172720","Le monde entier",3,1
"x389967553","AnonymeHd","Le Paradis surTerre <U+2B06><U+FE0F>",3,1797
"x1157119430041722880","olivierhusson3","le pays du Champagne",3,185
"x3124386551","cyberzencafe","Le Pecq, France",3,295
"x17681328","netdruide","Le Relecq Kerhuon, Bretagne",3,1529
"x1057507292898361344","vivou06","Le SUD de la France",5,11
"x253541966","clumsypops","lebanon",3,219
"x1308449894252908545","Justindoigt2","LeComplotisteNeTeVeutAucunMal",3,558
"x727853909465833472","62Rogozinski","lens",4,2
"x1243946387898871809","francois_b85","Les Sables d'Olonne",4,49
"x1207570881209339909","AgnesPottierD","Levallois",4,2827
"x1306553414898327553","Yoldie12","Levallois-Perret, France",3,20
"x354235902","CitoyenLucide","Lévis",3,246
"x4065201","logixca","Levis, QC",3,3036
"x826026073540481024","Alain_Bruneel","Lewarde, France",5,2935
"x1728258284","JustineBabin","Liban",4,966
"x1672535066","ClaudioServello","LIEGE",3,51
"x42015742","RaoulHedebouw","Liége",5,21208
"x1065279214193205251","JeanSimple2","Liège, Belgique",6,751
"x1216809146600824832","YukiNek56432140","Lieu de naissance Kyoto",6,1166
"x189482388","novlang1984","lille",3,169
"x1171523673481629696","MarjorieLorieux","Lille",3,380
"x1131717238493503489","aympontier","Lille",3,2692
"x309051660","claudeL59","Lille-Hellemmes (59)",3,2384
"x759685284107849728","hugopalacin","Lille - Reims",3,886
"x719879501551955968","turbomeuf","Lille, France",8,1522
"x724198795622400003","kameleon59000","Lille, France",7,295
"x1289684855152934913","SB270372","Lille, France",5,43
"x1227207853","arthurgrvais","Lille, France",5,593
"x1310280128417718272","mahsbh2","Lille, France",3,12
"x3580212983","sprintermoh","Lille, France",3,111
"x2490222734","VincentLaudier","Lille, France",3,225
"x602095900","HugoMerrir","Lille, France",3,854
"x526226529","Alexis_Verger","Lille, France.",8,7307
"x554159547","MaguyBoivin","Lille, Nord-Pas-de-Calais",3,2559
"x3785435355","LtSich","Limoges, France",6,213
"x1299034064012423169","N785638","Limousin, France",7,18
"x835887679296372740","cmon671","Lingolsheim, France",4,266
"x4160274844","CyrilPedia","Lisbon, Portugal",3,4336
"x1917287652","graindesable20","LN",3,9237
"x427169443","nathan_nkot","Logpom Douala/ Ngousso Yaoundé",3,96
"x1184854243469082626","FranoisBailleu1","Loin",3,239
"x1226258179","Azzertyran","Loin de la Bienpensance",4,298
"x1255493053042905091","lys_breizh","Loire-Atlantique, Bretagne",11,70
"x1112467621721620483","ValleeGregory","Loire-Atlantique, Pays de la L",4,62
"x628614080","RevedeLicorne","Loire 42",3,137
"x532486823","jpmk3","Loiret, Centre",3,53
"x941072487571443712","yling_chi","london",4,145
"x86574968","bap_preetama","London",6,299
"x402911521","VaeVix","London, England",13,5383
"x994037052","Sofiane1070","London, England",4,362
"x1588086668","sternelise","London, England",4,917
"x1220023293878644736","DrNoumory","London, England",3,339
"x826204568463798273","stockbtctrader","London, England",6,1376
"x5630212","RenaudGuerin","London, UK",7,1389
"x21707108","helenyg","London, United Kingdom",3,19072
"x289250739","France2londres","Londres",4,8407
"x1251530336359665665","ArpinGisele","Longueuil, Québec",3,51
"x746307966","Gilbro2010","Longueuil, Québec",3,3853
"x1224821506762575873","haraczaaj_nina","Longwy, France",3,293
"x170764696","deterpigny","Loos, Hauts-de-France",3,1091
"x1176362304121856000","ChampionAntoin3","Lorraine",3,23
"x1032216563141763072","HochonPaul2","Lorraine, France",6,151
"x1234011030382108672","Thionville63","Lorraine, France",4,13
"x1550790804","NathanGeor","Lorraine, France",4,392
"x1290808129924534272","rodinfo0","Lorraine, France",9,342
"x3564374416","generalklaus1","Lorraine, France",3,5120
"x3244682609","Nanar021","Los Angeles, CA",4,40
"x124734989","Appoline06","Lourdes",4,82
"x4699042765","AlexandreNoppe","Louvain-la-Neuve",4,86
"x222753685","factory1821","Luxembourg",37,247
"x953313874492755974","fake_allegrezza","Luxembourg",14,109
"x197361048","le_quotidien_lu","Luxembourg",4,7816
"x1360190909120475136","DReptilus","Luxembourg",3,13
"x334257332","justofly","Luxembourg",3,2987
"x873606938608762880","HSlachmuylders","Luxembourg (from Bastogne)",4,433
"x1235252901448212481","BlaiseScalpa","Lymphe Twitteresque",3,783
"x14090348","deltaplan","Lyon",37,1612
"x1530374185","DocteurMller","Lyon",5,1416
"x1283764428190748674","VP_RDG","Lyon",4,172
"x1341474072132284422","Marine_Frid","Lyon",3,192
"x24084016","ericko75","Lyon",3,246
"x1894506524","sergyl_lafont","LYON",4,2541
"x1227496705547022336","ClaudineMure","LYON",3,1
"x1226570952298897408","yvesBesson_Off","Lyon - France",3,138
"x102931338","BFMLyon","Lyon (France)",8,39719
"x1582975994","germainlb","Lyon / Nancy",3,463
"x56347652","marcelgarrigou","LYON 3",3,704
"x16602558","vitrolles13127","Lyon, <U+0001F1EB><U+0001F1F7>",5,721
"x1323511501","ThEsteveRobert","Lyon, France",5,44
"x862427256509128704","Jardin_Acide","Lyon, France",4,61
"x17383861","edasfr","Lyon, France",4,3060
"x932237446724677632","LazBt","Lyon, France",3,139
"x96591601","split2121","Lyon, France",3,229
"x45570845","ClaireBrossaud","Lyon, France",3,378
"x1260516857301393410","pierrellyon2","Lyon, France",3,388
"x295026514","AnnehLyon","Lyon, France",3,647
"x719175862382436354","chagrin2010","Lyon, France",3,658
"x142250301","Philoulyon","Lyon, France",3,5933
"x4706605817","africanewsfr","Lyon, France",3,24196
"x782321736045981697","pointepern","Ma Bretagne quand elle pleut<U+0001F327>",3,7001
"x1348565607017574400","DozerBulle","Macronistan",7,46
"x858914601878126592","007Macronistan","Macronistan",3,874
"x845999079066914816","777Antoine777","Macronistan du sud var",7,1786
"x1349377755574644739","Louis65719168","Majastres, France",3,738
"x2791204396","leQPH_fr","Malakoff",3,6773
"x767906670","Alvisyma","Malte",3,7009
"x952288220598931459","pude32","Manhattan, NY",13,23
"x2603293885","guilhemricavy","Manosque / Marseille",4,5091
"x738516804","AzmaniMouhieddi","Marrakech, Maroc",3,1213
"x1156538538869108736","X_laevis","Mars",3,57
"x4920286133","ZouzouuZii","Mars.",3,248
"x76910085","LouLolie","Marseille",5,34
"x1129696864998240256","pierrefran_","Marseille",3,68
"x1307788463572475904","JLesgards","Marseille",3,2586
"x276120646","LLP_Le_Vrai","Marseille",3,34309
"x849624257223168001","Ecrins6","Marseille et Vallouise",3,2103
"x1304443703122067461","arghotique","Marseille Porte de l'Afrique",3,13
"x1142454082516541441","ARonstand","Marseille, France",7,254
"x1070375327740899333","Infirmier00","Marseille, France",5,23195
"x1236316154077106181","LeChtinois62","Marseille, France",4,25
"x4060261000","fredcri1232","Marseille, France",4,87
"x2371973557","Alicesweatdream","Marseille, France",4,1338
"x1166608216626741250","HeleaZrd","Marseille, France",3,39
"x1177854295288496128","JuCarvelli","Marseille, France",3,97
"x548489973","Godeffroy_Bouil","Marseille, France",6,118
"x1243158971827007488","PillodC","Marseille, France",3,683
"x2464135300","DanielPilotte1","Marseille, France ALLEZ L'OM",3,18895
"x984649069","ChevalierCa","Martinique",4,115
"x16553975","rbeauchard","Maryland, USA",3,288
"x88880205","3Genevieve","Mayenne",12,2213
"x433861972","pf_mg","McGill University, Montreal",3,1045
"x222765851","maxbenard","Meaux",3,2367
"x3043748199","Josephine_Emond","Méréville, France",3,114
"x525837620","joeljosie","Mérignac",6,600
"x21108130","lerepu","Metz",4,25334
"x140825651","viaMoselleTV","Metz",3,9023
"x610231648","Remifasol57","Metz (France)",3,467
"x756467938622857216","GERSTENHABERM52","Metz, France",4,103
"x1272538482","Annette_LEXA","Metz, France",8,3194
"x579264682","The_best_man_57","Metz, France",7,4654
"x930490932180504576","nonsensique","Metz, France",3,820
"x60396780","fblorrainenord","Metz, Moselle",3,16645
"x950072813221810176","Yves34140","Mèze, France",3,531
"x1243912963708391429","MarieBatarec","Midi-Pyrénées, France",3,61
"x4819610956","Pompatweet","Midi-Pyrénées, France",3,897
"x740192689","Potipoisson4G","Milk & Honey - Jerusalem",6,623
"x1360689293052829696","a_1_0_2__","Milkyway",3,61
"x762623631528693760","Myo_Globine","Miskatonic University, Arkham",5,189
"x40505130","SOLARLIFE","MONACO - FRENCH RIVIERA",3,3275
"x220218003","Valdemonac","Monacoland",6,184
"x568136340","RushedCoffee","Monbebe <U+22C8>",3,1537
"x1556419213","Kitty_Maggy","MONDE",3,7293
"x193205443","minoske51","Mons, Belgique",5,11
"x399251929","LevyLoiseau","Mont-Tremblant, Québec",3,1738
"x901919996","sgmtb31","Montauban",3,2138
"x1061317613471629313","Mikaelkel2","Montauban, France",3,85
"x1211688245693542400","Lenoblemarie1","Montcuq, France",15,627
"x215896921","darkpe","Montpellier",3,23
"x242361822","jcdilloard","Montpellier - Lille",4,57
"x390088147","claudarnaud","Montpellier / Arcachon",3,10033
"x1114107180498726917","TAciider","Montpellier, France",4,115
"x2856359853","Franck_Marce","Montpellier, France",4,686
"x1248595901280595970","Cyberlun","Montpellier, France",3,47
"x71284189","Sofianemah","Montpellier, France",3,413
"x380509948","SMSanteTravail","Montpellier, France",3,542
"x255558263","humaniteqc","Montreal",8,96
"x12923992","tlacroix","Montreal",3,214
"x281234364","jmdufaux","montréal",5,29434
"x95767502","cherikoko06","Montréal",6,41
"x1243239890776731649","h24news_ca_fr","Montréal",6,47
"x736939866","leblanc_isa","Montréal",4,1274
"x71923148","dtzb","Montréal",4,1737
"x2374311686","MichelGuenette3","Montréal",16,5802
"x268024318","LussiD","Montréal",4,14311
"x1272294859584536582","MicheleQ17","Montréal",3,124
"x279179637","Johanna_Sabys","Montréal",3,182
"x2378995340","InfoBrefQc","Montréal",6,502
"x925186279","RenaudLeroy2","Montréal",6,1530
"x19845280","v_dussault","Montréal",3,1547
"x922466882","seguin_nathalie","Montréal",3,2159
"x138620054","SusanneMartel","Montréal",3,4123
"x89945349","DocteurJuneau","Montréal",6,5903
"x18399014","PatWhite70","Montréal",3,40861
"x400334965","HuffPostQuebec","Montréal",3,144229
"x2418138650","BenoitLeNabec","Montréal-Nord, Montréal",4,41
"x1233817385431375879","PYComtois","Montréal (Québec)",3,67
"x150034628","sylvain19673108","Montreal Quebec",3,110
"x1064318738","Dominic_Perri","Montreal, Canada",6,700
"x1225994732733706242","ArcandBooks","Montreal, Canada",3,75
"x56521250","isatismktg","Montréal, Magog, Canada",3,5047
"x737335736","LoulouDore","Montréal, Qc",4,196
"x15836703","RadioCanadaInfo","Montreal, Qc, Canada",7,607460
"x1935456056","germanys10","Montréal, Québec",6,14
"x43334998","Patrickdery","Montréal, Québec",11,12012
